Model_name,Epoch_No,accuracy,val_accuracy,test_accuracy
BiGRU,1,0.5322301983833313,0.5985500812530518,0.5139445662498474
BiGRU,2,0.5659015774726868,0.5681023597717285,0.5139445662498474
BiGRU,3,0.6175082921981812,0.5303198099136353,0.5139445662498474
BiGRU,4,0.6611294746398926,0.521449863910675,0.5139445662498474
BiGRU,5,0.6963595747947693,0.5139445662498474,0.5139445662498474
BiLSTM,1,0.5330628752708435,0.5969296097755432,0.508827269077301
BiLSTM,2,0.565794825553894,0.5453304648399353,0.508827269077301
BiLSTM,3,0.6143055558204651,0.5374839901924133,0.508827269077301
BiLSTM,4,0.655300498008728,0.5145415663719177,0.508827269077301
BiLSTM,5,0.6886943578720093,0.508827269077301,0.508827269077301
LSTM,1,0.5336820483207703,1.0,0.4034968018531799
LSTM,2,0.5471549034118652,0.90625,0.4034968018531799
LSTM,3,0.503021240234375,0.0,0.4034968018531799
LSTM,4,0.4662965834140777,0.0,0.4034968018531799
LSTM,5,0.4662965834140777,0.0,0.4034968018531799
RNN,1,0.5188000202178955,0.34375,0.5705757141113281
RNN,2,0.5266147255897522,1.0,0.5705757141113281
RNN,3,0.5344080328941345,0.984375,0.5705757141113281
RNN,4,0.5490978956222534,0.28125,0.5705757141113281
RNN,5,0.5621864199638367,0.796875,0.5705757141113281
GRU,1,0.5328280329704285,1.0,0.4997014999389648
GRU,2,0.5519376397132874,0.859375,0.4997014999389648
GRU,3,0.5854595899581909,0.78125,0.4997014999389648
GRU,4,0.6125119924545288,0.59375,0.4997014999389648
GRU,5,0.6404398679733276,0.625,0.4997014999389648
