Model_name,value
RNN,0.4948017
RNN,0.49023288
RNN,0.509018
RNN,0.49511433
RNN,0.4932891
RNN,0.48527595
RNN,0.49400356
RNN,0.49648976
RNN,0.4950867
RNN,0.49721667
RNN,0.48441443
RNN,0.50341547
GRU,0.49768084
GRU,0.49768084
GRU,0.49768084
GRU,0.49768084
GRU,0.4976808
GRU,0.49768084
GRU,0.49768084
GRU,0.49768084
GRU,0.49768084
GRU,0.49768084
GRU,0.49768084
GRU,0.49768084
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
LSTM,0.49792856
BGRU,0.4966401
BGRU,0.4972266
BGRU,0.49848962
BGRU,0.49823847
BGRU,0.5012138
BGRU,0.49910304
BGRU,0.49701232
BGRU,0.49806502
BGRU,0.49852532
BGRU,0.49965766
BGRU,0.49556166
BGRU,0.4991162
BiLSTM,0.4995678
BiLSTM,0.4979365
BiLSTM,0.5003943
BiLSTM,0.50122833
BiLSTM,0.49994406
BiLSTM,0.5014713
BiLSTM,0.49916434
BiLSTM,0.49756145
BiLSTM,0.50005317
BiLSTM,0.49975768
BiLSTM,0.49849388
BiLSTM,0.49850252
